"","ARIW","ATLW","BALW","BUFW","CARW","CHIW","CINW","CLEW","DALW","DENW","DETW","GBW","HOUW","INDW","JAXW","KCW","LACW","LARW","LVW","MIAW","MINW","NEW","NOW","NYGW","NYJW","PHIW","PITW","SEAW","SFW","TBBW","TENW","WASW","ARIL","ATLL","BALL","BUFL","CARL","CHIL","CINL","CLEL","DALL","DENL","DETL","GBL","HOUL","INDL","JAXL","KCL","LACL","LARL","LVL","MIAL","MINL","NEL","NOL","NYGL","NYJL","PHIL","PITL","SEAL","SFL","TBBL","TENL","WASL","ARIT","ATLT","BALT","BUFT","CART","CHIT","CINT","CLET","DALT","DENT","DETT","GBT","HOUT","INDT","JAXT","KCT","LACT","LART","LVT","MIAT","MINT","NET","NOT","NYGT","NYJT","PHIT","PITT","SEAT","SFT","TBBT","TENT","WAST","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","AFC1","AFC2","AFC3","AFC4","AFC5","AFC6","AFC7","NFCWC1","NFCWC2","NFCWC3","AFCWC1","AFCWC2","AFCWC3","NFCD1","NFCD2","AFCD1","AFCD2","NFCC","AFCC","SB"
"8740",9,7,11,14,4,5,8,10,5,8,7,9,3,10,9,13,13,9,5,11,8,8,6,10,5,12,8,8,7,12,8,9,8,10,6,3,13,12,9,7,12,9,10,8,13,6,8,4,4,8,12,6,9,9,11,7,12,5,9,9,10,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHI","TBB","GB","LAR","NYG","ARI","WAS","BUF","KC","BAL","IND","LAC","MIA","CLE","WAS","ARI","LAR","CLE","BAL","LAC","PHI","LAR","BUF","BAL","PHI","BUF","BUF"
"8741",9,4,8,13,6,6,9,10,12,9,7,9,6,7,8,15,9,8,5,11,11,8,7,10,4,15,8,8,10,10,4,5,8,13,9,4,11,11,8,7,5,8,10,8,10,9,9,2,8,9,12,6,6,9,10,7,13,2,9,9,7,7,13,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHI","MIN","SF","TBB","DAL","NYG","ARI","KC","BUF","CLE","JAX","MIA","DEN","LAC","ARI","NYG","TBB","LAC","DEN","JAX","PHI","TBB","KC","DEN","PHI","KC","PHI"
"8742",8,3,9,12,6,7,5,11,9,9,10,9,5,9,6,14,11,9,10,10,6,10,7,9,6,10,6,7,9,15,8,6,9,14,8,5,11,10,12,6,8,8,7,8,11,7,11,3,6,8,7,7,11,7,10,8,11,7,11,10,8,2,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","PHI","DET","LAR","DAL","GB","SF","KC","BUF","CLE","IND","LAC","LV","NE","PHI","DET","DAL","NE","CLE","IND","TBB","PHI","NE","CLE","TBB","CLE","CLE"
"8743",4,2,12,14,8,6,5,8,11,8,8,9,4,5,6,13,9,9,7,13,10,6,9,11,6,11,6,8,11,13,8,11,13,15,5,3,9,11,12,9,6,9,9,8,12,11,11,4,8,8,10,4,7,11,8,6,11,6,11,9,6,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","SF","DAL","MIN","WAS","NYG","PHI","BUF","KC","BAL","TEN","MIA","LAC","CLE","SF","DAL","MIN","KC","BAL","TEN","TBB","SF","BUF","KC","TBB","BUF","BUF"
"8744",9,5,9,13,6,11,4,7,10,10,8,11,7,8,9,10,13,9,8,11,8,7,11,7,3,9,7,7,5,14,6,9,8,12,8,4,11,6,13,10,7,7,9,6,9,8,8,7,4,8,9,6,9,10,6,10,14,8,10,10,12,3,11,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","GB","DAL","LAR","NO","CHI","ARI","BUF","LAC","JAX","BAL","MIA","KC","DEN","ARI","DAL","NO","DEN","JAX","BAL","TBB","DAL","BUF","JAX","TBB","BUF","TBB"
"8745",8,3,10,13,6,8,6,11,8,10,7,9,7,8,6,10,12,9,6,11,10,8,8,8,7,11,10,5,10,12,7,7,9,14,7,4,11,9,11,6,9,7,10,8,9,8,11,7,5,8,11,6,7,9,9,9,10,6,7,12,7,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","PHI","SF","MIN","GB","LAR","ARI","BUF","LAC","CLE","IND","MIA","BAL","PIT","PHI","SF","GB","LAC","CLE","MIA","TBB","PHI","BUF","CLE","PHI","BUF","PHI"
"8746",12,8,10,13,2,8,8,11,11,6,3,11,4,6,9,14,10,9,5,12,7,5,7,8,6,12,10,9,9,12,6,8,5,9,7,4,15,9,9,6,6,11,14,6,12,10,8,3,7,8,12,5,10,12,10,9,11,5,7,8,8,5,11,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARI","TBB","PHI","GB","DAL","SEA","SF","KC","BUF","CLE","JAX","MIA","BAL","PIT","TBB","PHI","GB","BUF","BAL","JAX","GB","TBB","KC","JAX","TBB","KC","KC"
"8747",8,5,6,17,8,6,5,10,9,9,7,8,8,7,6,13,8,9,4,10,13,10,7,11,3,12,9,8,11,10,6,8,9,12,11,0,9,11,12,7,8,8,10,9,8,9,11,4,9,8,13,7,4,7,10,6,14,5,8,9,6,7,11,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MIN","PHI","SF","TBB","NYG","LAR","DAL","BUF","KC","CLE","HOU","NE","MIA","PIT","PHI","LAR","TBB","KC","CLE","NE","LAR","PHI","NE","KC","PHI","NE","PHI"
"8748",6,4,8,11,10,7,3,12,9,11,10,9,5,8,8,13,7,12,6,11,9,9,8,8,4,13,6,6,7,15,9,7,11,13,9,6,7,10,14,5,8,6,7,8,11,8,9,4,10,5,11,6,8,8,9,9,13,4,11,11,10,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","PHI","LAR","DET","CAR","MIN","DAL","KC","CLE","MIA","TEN","DEN","BUF","NE","PHI","LAR","CAR","NE","BUF","TEN","TBB","PHI","KC","BUF","TBB","KC","KC"
"8749",4,1,11,13,6,7,5,12,9,11,10,12,7,6,8,11,9,9,3,9,9,11,10,8,6,12,3,7,11,14,9,8,13,16,6,4,11,10,12,5,8,6,7,5,9,10,9,6,8,8,14,8,8,6,7,9,11,5,14,10,6,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","GB","PHI","SF","DET","NO","LAR","BUF","CLE","DEN","TEN","BAL","NE","KC","GB","PHI","SF","KC","DEN","TEN","TBB","PHI","BUF","DEN","PHI","DEN","DEN"
"8750",10,5,6,12,6,10,8,5,10,8,7,10,7,9,7,13,11,11,6,10,10,9,9,8,6,11,9,7,6,12,7,6,7,12,11,5,11,7,9,12,7,9,10,7,9,7,10,4,6,6,11,7,7,8,8,9,11,6,8,10,11,5,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","LAR","PHI","CHI","DAL","MIN","GB","KC","BUF","IND","PIT","LAC","MIA","NE","LAR","PHI","CHI","BUF","MIA","PIT","TBB","LAR","MIA","BUF","TBB","BUF","TBB"
