NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Beau Hossler,29,2020,"$658,088 ",308,22,67,13,1,0,70.8,306.6,53.9,65.2,1.757,51.8,3.567
Rafa Cabrera Bello,39,2020,"$646,577 ",258,0,53,10,0,0,70.7,293.7,62.6,63.8,1.759,37.9,3.642
Rory Sabbatini,47,2020,"$629,885 ",291,0,66,13,0,0,70.4,283.9,60.8,65.2,1.778,59.8,3.667
Brice Garnett,40,2020,"$626,179 ",294,0,58,9,0,0,69.8,290.6,64.4,69.9,1.76,48.3,3.638
Bo Hoag,35,2020,"$621,518 ",281,22,67,13,1,0,70.4,294.7,63.2,70,1.784,40.2,3.552
Danny Willett,36,2020,"$621,028 ",202,13,40,7,1,0,71.7,301.2,55.4,62.5,1.769,56.8,3.625
Bronson Burgoon,36,2020,"$589,539 ",255,19,53,9,1,0,69.8,294.6,59.6,66.9,1.727,53.3,4.151
Fabián Gómez,45,2020,"$564,722 ",274,19,55,10,2,0,70.4,289.2,65.8,66.7,1.759,58.2,3.545
Peter Malnati,36,2020,"$561,273 ",238,0,57,10,0,0,70.8,287.6,54.5,62.6,1.727,44.9,3.719
Chase Seiffert,32,2020,"$539,756 ",254,18,54,10,1,0,70.5,291.3,62.5,68.1,1.766,45,3.648
Nick Watney,42,2020,"$534,797 ",253,17,44,6,1,0,70.3,302.3,55.4,70.2,1.75,45.3,4
Jhonattan Vegas,39,2020,"$527,009 ",235,17,50,9,1,0,70.1,309,62,70.2,1.786,39.2,4.06
Russell Knox,38,2020,"$519,028 ",269,0,63,11,0,0,70,296.3,62.2,70.1,1.8,55.4,3.635
Joseph Bramlett,35,2020,"$495,690 ",223,18,53,10,1,0,70.8,299.3,57.4,70,1.798,48.1,3.623
Stewart Cink,50,2020,"$490,620 ",207,14,51,11,1,0,71,295.7,56.4,68,1.763,47.2,3.588
Kyle Stanley,36,2020,"$490,359 ",246,20,53,8,1,0,70.1,285.1,71.3,72.5,1.783,48,3.83
Chesson Hadley,36,2020,"$485,193 ",239,0,58,12,0,0,70.3,296,66.7,70.2,1.741,44.8,4.31
Cameron Percy,49,2020,"$470,679 ",208,17,45,8,1,0,70.3,295,59.2,69.6,1.782,49.1,3.556
Andrew Putnam,35,2020,"$459,640 ",184,16,46,7,1,0,71.3,277.9,57,63.8,1.769,51.9,3.196
Rob Oppenheim,44,2020,"$454,470 ",236,21,61,11,1,0,70.8,284.2,63,65.2,1.791,52.7,3.443
Josh Teater,44,2020,"$453,508 ",217,15,41,6,1,0,70.3,294,68.2,71.5,1.761,35.3,3.927
J.B. Holmes,41,2020,"$440,524 ",183,0,25,6,0,0,71,0,0,0,0,0,0
Hank Lebioda,30,2020,"$436,840 ",230,20,55,8,1,0,70.8,294.7,60.3,67.7,1.773,49.5,3.6
Robert Streb,36,2020,"$415,258 ",207,19,50,7,1,0,71.1,293.7,58.1,67.3,1.766,35.4,3.5
